,Number_of_Priors,score_factor,Age_Above_FourtyFive,Age_Below_TwentyFive,African_American,Asian,Hispanic,Native_American,Other,Female,Misdemeanor,predicted_class,true_class,errors
4176,1,0,0,0,1,0,0,0,0,1,1,0,0,0
5074,0,1,1,0,0,0,0,0,0,0,0,1,0,1
1434,14,1,1,0,1,0,0,0,0,0,0,1,1,0
3277,0,0,0,0,1,0,0,0,0,0,0,0,1,1
517,5,1,0,0,1,0,0,0,0,0,1,1,1,0
1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2524,1,0,0,1,0,0,0,0,1,0,0,0,1,1
4591,5,0,0,0,1,0,0,0,0,0,1,0,0,0
4513,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2457,6,1,0,0,1,0,0,0,0,0,0,1,0,1
1357,3,1,0,0,0,0,0,0,1,0,0,0,0,0
1248,1,1,0,1,1,0,0,0,0,1,0,1,0,1
1576,0,1,0,1,1,0,0,0,0,0,0,1,1,0
5154,9,1,0,0,1,0,0,0,0,0,1,1,0,1
2840,0,0,1,0,0,0,0,0,0,0,1,0,0,0
586,2,1,1,0,0,0,0,0,0,0,0,1,1,0
4082,20,1,0,0,1,0,0,0,0,0,0,1,1,0
5100,2,0,1,0,0,0,0,0,0,0,1,0,1,1
5596,2,1,0,0,1,0,0,0,0,1,0,1,1,0
501,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4330,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3969,1,1,0,0,0,0,1,0,0,0,1,0,0,0
795,1,0,0,0,0,0,0,0,0,1,1,0,0,0
1905,0,0,0,1,0,0,0,0,0,1,0,0,1,1
3731,2,0,0,0,0,0,0,0,0,0,0,0,1,1
4166,5,1,0,0,1,0,0,0,0,0,0,1,0,1
1475,15,1,1,0,1,0,0,0,0,0,0,1,1,0
2620,0,1,0,0,0,0,0,0,0,0,1,1,1,0
3105,5,1,0,0,1,0,0,0,0,0,1,1,0,1
251,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2239,12,1,0,0,1,0,0,0,0,0,1,1,1,0
34,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4090,24,1,0,0,1,0,0,0,0,0,0,1,1,0
2319,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2747,9,1,0,0,1,0,0,0,0,0,0,1,1,0
3121,13,1,1,0,1,0,0,0,0,0,0,1,0,1
4318,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1075,0,0,0,1,1,0,0,0,0,0,0,0,1,1
4962,5,0,0,0,0,0,1,0,0,0,0,0,0,0
4664,8,1,0,0,1,0,0,0,0,0,0,1,0,1
4624,3,0,0,0,1,0,0,0,0,0,1,1,1,0
5197,15,1,0,0,0,0,0,0,0,0,0,1,1,0
1265,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6035,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1210,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5116,1,0,1,0,0,0,0,0,0,0,1,0,1,1
3350,4,0,0,0,1,0,0,0,0,0,1,1,0,1
428,4,0,1,0,0,0,0,0,0,0,1,0,0,0
3627,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3562,7,1,0,0,1,0,0,0,0,0,1,1,1,0
4961,26,1,0,0,0,0,1,0,0,0,0,0,1,1
3964,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3406,4,1,0,0,1,0,0,0,0,0,0,1,1,0
5888,17,1,0,0,1,0,0,0,0,0,0,1,1,0
4542,0,0,1,0,0,0,0,0,0,0,1,0,1,1
5812,0,1,0,1,0,0,0,0,0,0,1,1,1,0
4856,5,0,0,0,1,0,0,0,0,1,0,0,0,0
3522,0,1,0,1,1,0,0,0,0,1,1,0,0,0
6051,2,1,0,0,1,0,0,0,0,0,1,0,1,1
5580,1,0,0,1,1,0,0,0,0,0,0,1,1,0
3654,6,1,0,0,1,0,0,0,0,0,0,1,1,0
5557,11,1,0,0,1,0,0,0,0,0,0,1,1,0
1923,25,1,0,0,1,0,0,0,0,0,0,1,1,0
1661,1,0,0,1,0,0,0,0,0,0,0,0,1,1
3825,0,0,1,0,0,0,0,0,0,1,1,0,1,1
4601,4,0,0,0,0,0,0,0,0,0,0,1,1,0
4424,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5510,6,0,0,0,0,0,0,0,0,0,1,1,1,0
1354,0,0,1,0,0,1,0,0,0,0,1,0,0,0
623,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4208,4,1,1,0,0,0,0,0,0,0,1,1,0,1
4511,2,1,0,1,1,0,0,0,0,0,1,1,1,0
3871,21,1,0,0,1,0,0,0,0,0,0,1,1,0
1386,8,1,0,0,1,0,0,0,0,0,0,1,1,0
2458,0,1,0,1,0,0,1,0,0,0,0,0,0,0
4906,8,1,0,0,1,0,0,0,0,1,0,1,0,1
1186,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3845,0,0,0,1,0,0,0,0,0,0,0,0,1,1
4505,3,1,0,1,1,0,0,0,0,0,0,1,1,0
5142,0,0,0,0,0,0,1,0,0,0,1,0,1,1
2500,0,0,0,0,1,0,0,0,0,0,1,0,1,1
1029,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2722,1,0,0,1,1,0,0,0,0,0,1,1,1,0
5701,5,1,0,1,1,0,0,0,0,0,0,1,1,0
5140,2,0,0,0,0,0,0,0,1,0,0,0,1,1
3335,1,1,0,1,1,0,0,0,0,0,0,1,1,0
2626,10,1,1,0,1,0,0,0,0,0,0,1,0,1
3789,2,1,0,0,1,0,0,0,0,0,0,1,0,1
938,2,1,0,1,0,0,0,0,0,1,0,0,0,0
3701,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2293,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6120,3,0,0,0,0,0,0,0,0,0,1,0,1,1
1331,0,0,1,0,0,0,0,0,0,1,1,0,0,0
3333,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2784,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,14,1,0,0,1,0,0,0,0,0,0,1,1,0
3579,6,0,1,0,0,0,0,0,0,0,0,0,0,0
3902,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1521,5,1,0,0,0,0,0,0,0,0,0,1,1,0
1347,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1955,2,0,0,0,1,0,0,0,0,0,0,0,0,0
659,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5079,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2390,4,0,1,0,0,0,0,0,1,0,1,1,1,0
5611,2,1,0,1,1,0,0,0,0,1,0,1,1,0
4481,11,1,0,1,0,0,0,0,0,0,0,1,1,0
4813,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3900,3,1,0,0,1,0,0,0,0,0,0,1,1,0
871,0,0,0,0,0,0,0,0,1,0,0,0,1,1
4419,0,0,0,1,0,0,1,0,0,0,0,0,1,1
3744,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1763,7,1,0,0,0,0,0,0,0,0,1,1,1,0
3854,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1152,0,0,0,0,0,0,0,0,0,1,1,0,0,0
680,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1202,1,1,0,1,1,0,0,0,0,0,0,1,0,1
6170,3,0,0,0,1,0,0,0,0,1,1,0,0,0
5097,0,0,0,1,0,0,0,0,1,0,0,0,0,0
6160,19,1,0,0,1,0,0,0,0,0,0,1,1,0
2490,6,1,0,0,1,0,0,0,0,0,0,1,1,0
1193,1,0,0,1,1,0,0,0,0,1,1,0,1,1
5301,0,1,0,1,1,0,0,0,0,0,0,1,0,1
3912,1,0,0,0,0,0,0,0,0,0,1,0,0,0
649,5,1,0,0,1,0,0,0,0,0,0,1,1,0
4621,3,0,0,0,1,0,0,0,0,0,1,1,0,1
3510,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5161,1,0,0,1,1,0,0,0,0,0,0,1,1,0
418,4,0,0,0,1,0,0,0,0,0,0,0,1,1
1541,0,1,1,0,0,0,0,0,0,0,1,1,0,1
1826,11,1,0,0,0,0,0,0,0,0,0,1,1,0
27,9,1,0,0,0,0,0,0,0,0,0,1,1,0
5805,4,1,0,0,1,0,0,0,0,0,0,1,1,0
3608,12,0,0,0,1,0,0,0,0,0,0,1,1,0
1559,0,0,1,0,0,0,0,0,0,0,1,0,0,0
602,18,1,1,0,1,0,0,0,0,0,0,1,1,0
4316,2,1,0,1,1,0,0,0,0,1,0,1,1,0
55,4,1,0,0,1,0,0,0,0,0,0,1,1,0
2953,0,1,0,0,1,0,0,0,0,0,0,0,1,1
482,5,0,0,0,1,0,0,0,0,0,1,0,1,1
3334,6,1,0,0,0,0,0,0,1,0,0,0,1,1
2850,7,0,0,0,1,0,0,0,0,0,0,0,0,0
3948,0,1,0,1,1,0,0,0,0,0,0,1,1,0
417,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2786,0,0,0,1,1,0,0,0,0,0,1,1,1,0
5848,2,0,0,0,0,0,0,0,0,0,1,0,1,1
5749,0,0,0,1,1,0,0,0,0,0,1,1,0,1
1239,3,0,1,0,0,0,1,0,0,0,0,1,0,1
4374,2,0,0,0,1,0,0,0,0,0,0,0,0,0
6046,2,0,1,0,0,0,0,0,0,1,1,0,0,0
4501,6,1,0,0,1,0,0,0,0,0,0,1,1,0
2550,1,0,0,0,1,0,0,0,0,1,1,0,0,0
1495,5,1,0,0,1,0,0,0,0,0,0,1,1,0
108,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1551,2,0,1,0,0,0,0,0,0,0,1,0,1,1
731,7,1,0,1,1,0,0,0,0,0,1,1,0,1
5507,2,0,0,0,1,0,0,0,0,1,0,0,1,1
3540,0,0,1,0,1,0,0,0,0,0,0,0,1,1
2036,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3148,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4177,1,1,0,1,1,0,0,0,0,0,0,1,0,1
4796,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2387,1,1,0,0,0,0,1,0,0,0,1,0,0,0
3287,2,0,1,0,0,0,0,0,0,0,0,0,0,0
5790,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5652,5,1,0,0,1,0,0,0,0,0,0,1,1,0
4905,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2037,10,1,1,0,1,0,0,0,0,0,0,1,1,0
5191,1,1,0,0,1,0,0,0,0,0,0,0,1,1
2835,6,0,1,0,1,0,0,0,0,0,0,0,0,0
5238,3,1,1,0,0,0,1,0,0,0,0,0,1,1
1353,0,0,0,0,1,0,0,0,0,0,0,0,0,0
407,1,0,1,0,0,0,0,0,0,0,0,0,1,1
5675,2,0,0,0,1,0,0,0,0,0,0,0,1,1
1429,2,1,0,0,0,0,0,0,0,1,0,1,1,0
455,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2189,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1178,5,0,0,1,0,0,0,0,1,0,0,1,1,0
2813,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3267,3,0,1,0,0,0,0,0,0,0,0,0,0,0
839,0,1,0,1,1,0,0,0,0,0,0,1,1,0
5384,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5528,2,1,0,1,1,0,0,0,0,0,0,1,1,0
1376,0,0,0,0,1,0,0,0,0,0,0,0,0,0
863,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3348,1,0,0,0,0,0,0,0,0,1,1,0,1,1
3347,5,1,0,0,1,0,0,0,0,0,0,1,0,1
4495,9,1,0,0,0,0,0,0,0,0,0,1,1,0
3044,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5136,12,1,0,0,1,0,0,0,0,0,1,1,1,0
1192,1,1,1,0,0,0,0,0,0,0,0,1,1,0
4600,3,0,1,0,0,0,0,0,0,0,0,0,1,1
2577,4,1,0,1,1,0,0,0,0,0,0,1,1,0
5560,1,0,0,0,1,0,0,0,0,0,1,0,0,0
4349,0,0,0,0,1,0,0,0,0,0,0,0,1,1
5640,1,0,0,0,0,0,0,0,0,0,1,0,0,0
862,1,0,1,0,0,0,0,0,0,0,0,0,0,0
50,8,1,1,0,0,0,0,0,0,0,0,1,0,1
4451,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2706,3,1,0,1,0,0,0,0,1,0,1,0,1,1
5548,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3460,3,1,0,0,1,0,0,0,0,0,0,1,1,0
429,12,1,1,0,0,0,0,0,1,0,0,1,0,1
5904,8,1,0,0,0,0,0,0,0,0,0,1,1,0
2768,1,0,0,1,1,0,0,0,0,0,1,1,0,1
248,5,0,0,0,1,0,0,0,0,0,0,0,1,1
4944,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3304,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2451,0,1,0,1,1,0,0,0,0,0,1,0,0,0
5284,7,1,0,0,1,0,0,0,0,1,0,1,1,0
5042,0,0,0,0,0,0,0,0,0,1,0,1,0,1
3180,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4049,1,1,0,0,0,0,1,0,0,0,0,0,0,0
4383,0,1,0,1,0,0,1,0,0,0,0,0,1,1
5829,38,1,1,0,1,0,0,0,0,0,0,1,1,0
5399,2,0,0,0,0,0,0,0,1,0,0,0,1,1
316,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1587,0,0,0,1,1,0,0,0,0,0,0,0,1,1
5034,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3445,6,0,0,0,1,0,0,0,0,0,0,1,0,1
2355,2,1,0,0,0,0,0,0,0,0,0,0,1,1
5823,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4683,0,1,0,1,0,0,1,0,0,0,0,0,1,1
29,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4819,2,0,1,0,1,0,0,0,0,0,1,0,0,0
4050,3,0,0,0,0,0,0,0,0,0,1,0,0,0
810,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4394,7,1,0,0,1,0,0,0,0,0,0,1,0,1
5620,7,1,0,0,1,0,0,0,0,1,0,1,1,0
493,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5335,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3660,3,0,1,0,0,0,0,0,0,0,1,0,0,0
5915,3,1,1,0,1,0,0,0,0,0,1,0,1,1
2532,0,1,0,0,0,0,1,0,0,0,0,0,1,1
3110,0,0,0,0,1,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4119,2,1,0,0,1,0,0,0,0,0,0,1,1,0
4448,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2945,0,0,0,0,0,0,0,0,1,0,1,0,0,0
192,4,0,0,0,0,0,0,0,1,0,0,1,1,0
3546,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3168,5,1,0,0,0,0,1,0,0,0,1,1,1,0
1637,7,1,0,0,1,0,0,0,0,0,0,1,1,0
4444,7,0,0,0,1,0,0,0,0,0,1,1,0,1
4358,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4994,0,1,0,0,1,0,0,0,0,0,0,0,1,1
5937,1,1,0,1,0,0,0,0,0,1,1,0,0,0
1117,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5866,0,0,0,0,0,0,0,0,0,1,0,1,0,1
1322,2,1,0,1,1,0,0,0,0,1,0,1,1,0
3822,0,0,1,0,0,0,0,0,1,0,1,0,0,0
2561,9,1,0,0,0,0,0,0,0,0,0,1,0,1
5574,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2985,1,1,0,1,1,0,0,0,0,0,1,1,1,0
4734,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3431,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5612,0,0,0,1,0,0,0,0,1,0,0,0,1,1
4145,0,1,0,1,1,0,0,0,0,0,1,0,1,1
2527,0,0,0,1,1,0,0,0,0,1,0,0,0,0
3452,1,0,1,0,1,0,0,0,0,1,0,0,0,0
2959,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6059,10,0,1,0,1,0,0,0,0,0,0,1,1,0
267,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4106,0,0,0,0,1,0,0,0,0,0,1,0,0,0
272,36,1,1,0,0,0,0,0,0,0,0,1,1,0
42,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5272,4,0,0,0,1,0,0,0,0,0,0,0,1,1
2715,2,0,0,0,1,0,0,0,0,0,0,0,1,1
4794,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1046,4,1,0,0,1,0,0,0,0,0,0,1,1,0
4042,3,0,1,0,1,0,0,0,0,0,0,0,0,0
2280,3,0,0,1,0,0,0,0,0,0,0,1,1,0
3521,6,1,0,0,0,0,0,0,0,1,0,1,0,1
4043,1,0,0,1,1,0,0,0,0,0,0,1,1,0
3337,1,0,0,1,0,0,0,0,0,0,0,0,1,1
5802,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2983,0,1,0,1,0,0,0,0,0,0,1,1,0,1
1509,4,0,1,0,0,0,0,0,0,1,0,0,1,1
1219,2,0,1,0,0,0,0,0,0,1,0,0,0,0
5997,9,1,0,0,1,0,0,0,0,0,1,1,1,0
208,1,0,1,0,0,0,0,0,0,0,1,0,0,0
4620,0,0,1,0,0,1,0,0,0,0,1,0,0,0
2879,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1961,2,0,0,0,1,0,0,0,0,0,1,0,0,0
2370,0,0,0,1,0,0,1,0,0,0,0,0,1,1
2294,1,0,0,1,1,0,0,0,0,0,1,1,0,1
4127,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5433,2,1,0,0,1,0,0,0,0,0,0,1,0,1
3125,9,1,0,0,0,0,0,0,0,0,0,1,1,0
4652,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4449,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5865,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4387,3,1,0,0,1,0,0,0,0,0,0,1,1,0
3628,0,0,1,0,1,0,0,0,0,0,0,0,0,0
593,10,1,0,0,1,0,0,0,0,0,1,1,1,0
3359,29,1,0,0,1,0,0,0,0,0,0,1,1,0
2557,3,0,1,0,0,0,0,0,0,0,1,0,0,0
699,2,0,1,0,0,0,0,0,0,0,0,0,0,0
3645,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5985,4,0,0,0,1,0,0,0,0,0,0,0,1,1
4047,4,0,0,0,0,0,0,0,0,0,0,1,1,0
1827,5,1,1,0,1,0,0,0,0,0,0,1,1,0
1749,11,1,0,0,1,0,0,0,0,0,0,1,1,0
309,0,1,0,1,1,0,0,0,0,0,0,1,1,0
