,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior,predicted_class,true_class,errors
250,39,1,666,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0
9,28,3,5234,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1.0
196,28,2,1382,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0.0,1.0
81,47,2,1213,15,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.0,0.0
239,39,2,2522,30,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1.0
290,26,2,1076,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0
211,45,1,3835,36,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0.0,1.0
227,53,3,7865,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.0
7,35,3,6948,36,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0.0,1.0
155,20,2,1282,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0
