,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
352,38,3,3229,18,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
212,50,2,5293,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
79,22,2,3832,30,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
148,28,2,5371,36,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
302,37,1,1344,24,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
342,25,2,3213,18,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
133,47,2,1984,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
311,25,2,5511,24,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
0,67,2,1169,6,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
316,38,1,708,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
172,34,3,2064,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
125,30,2,2121,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
394,31,3,2406,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
90,56,2,618,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
181,30,3,4455,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
274,34,1,11998,30,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
69,25,2,2394,36,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
291,28,3,9398,36,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
131,29,2,6887,36,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
300,54,0,672,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
326,49,2,5801,12,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
144,23,2,2288,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
135,38,2,1240,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
164,36,2,909,36,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
28,34,2,2415,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
193,29,2,2108,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
388,27,2,2326,15,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
169,31,2,1935,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
140,27,0,709,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
173,33,2,1414,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
6,53,2,2835,24,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
73,41,1,5954,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
238,35,2,1291,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
145,30,2,3566,48,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
234,42,1,1544,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
220,26,1,625,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
132,27,1,2708,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
185,31,2,1360,15,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
41,26,2,1158,12,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
108,30,2,7721,24,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
56,52,3,6468,12,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
